Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
32,mineral water,chocolate,avocado,eggs,,,,,,,,,,,,,,,,
33,turkey,french fries,strawberries,,,,,,,,,,,,,,,,,
34,frozen vegetables,strong cheese,chocolate,,,,,,,,,,,,,,,,,
35,cookies,,,,,,,,,,,,,,,,,,,
36,pickles,spaghetti,salmon,escalope,,,,,,,,,,,,,,,,
37,energy bar,french fries,,,,,,,,,,,,,,,,,,
38,red wine,ground beef,mineral water,,,,,,,,,,,,,,,,,
39,mineral water,cake,cottage cheese,,,,,,,,,,,,,,,,,
40,pickles,champagne,green tea,,,,,,,,,,,,,,,,,
41,spaghetti,,,,,,,,,,,,,,,,,,,
42,fresh tuna,frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie,escalope,,,,,,,,,,,,
43,spaghetti,,,,,,,,,,,,,,,,,,,
44,soup,meatballs,hot dogs,sparkling water,,,,,,,,,,,,,,,,
45,escalope,,,,,,,,,,,,,,,,,,,
46,soup,avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea,,,,,,,,,,,,
47,mineral water,chicken,cereals,clothes accessories,,,,,,,,,,,,,,,,
48,mineral water,bug spray,,,,,,,,,,,,,,,,,,
49,avocado,muffins,,,,,,,,,,,,,,,,,,
50,burgers,black tea,green tea,,,,,,,,,,,,,,,,,
51,spaghetti,chocolate,brownies,white wine,green tea,,,,,,,,,,,,,,,
52,fresh tuna,mineral water,eggs,,,,,,,,,,,,,,,,,
53,spaghetti,muffins,,,,,,,,,,,,,,,,,,
54,spaghetti,chocolate,,,,,,,,,,,,,,,,,,
55,french fries,escalope,champagne,,,,,,,,,,,,,,,,,
56,tomato sauce,light mayo,,,,,,,,,,,,,,,,,,
57,turkey,fresh tuna,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,chocolate,soup,milk,olive oil,,,,,,,,,
58,eggs,cookies,,,,,,,,,,,,,,,,,,
59,soup,chicken,gums,soda,body spray,energy drink,green tea,,,,,,,,,,,,,
60,turkey,frozen vegetables,mineral water,cider,cooking oil,green tea,,,,,,,,,,,,,,
61,spaghetti,,,,,,,,,,,,,,,,,,,
62,clothes accessories,,,,,,,,,,,,,,,,,,,
63,energy drink,,,,,,,,,,,,,,,,,,,
64,soup,bug spray,shallot,protein bar,green tea,,,,,,,,,,,,,,,
65,turkey,eggs,,,,,,,,,,,,,,,,,,
66,french fries,,,,,,,,,,,,,,,,,,,
67,chocolate,milk,,,,,,,,,,,,,,,,,,
68,herb & pepper,whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice,,,,,,,,,,,,,
69,cookies,,,,,,,,,,,,,,,,,,,
70,shrimp,pasta,,,,,,,,,,,,,,,,,,
71,grated cheese,herb & pepper,tomatoes,tomato sauce,corn,,,,,,,,,,,,,,,
72,burgers,escalope,shallot,,,,,,,,,,,,,,,,,
73,cookies,,,,,,,,,,,,,,,,,,,
74,yogurt cake,,,,,,,,,,,,,,,,,,,
75,soup,eggs,,,,,,,,,,,,,,,,,,
76,cookies,,,,,,,,,,,,,,,,,,,
77,mineral water,chocolate,low fat yogurt,,,,,,,,,,,,,,,,,
78,eggs,strawberries,,,,,,,,,,,,,,,,,,
79,grated cheese,ground beef,spaghetti,mineral water,white wine,,,,,,,,,,,,,,,
80,mint,,,,,,,,,,,,,,,,,,,
81,eggs,cake,french fries,,,,,,,,,,,,,,,,,
82,burgers,spaghetti,milk,french fries,green tea,,,,,,,,,,,,,,,
83,mineral water,energy bar,butter,french fries,,,,,,,,,,,,,,,,
84,burgers,grated cheese,herb & pepper,mineral water,eggs,cooking oil,,,,,,,,,,,,,,
85,energy bar,,,,,,,,,,,,,,,,,,,
86,energy bar,energy drink,,,,,,,,,,,,,,,,,,
87,chocolate,frozen smoothie,,,,,,,,,,,,,,,,,,
88,low fat yogurt,,,,,,,,,,,,,,,,,,,
89,asparagus,salad,,,,,,,,,,,,,,,,,,
90,burgers,french fries,low fat yogurt,green tea,,,,,,,,,,,,,,,,
91,low fat yogurt,,,,,,,,,,,,,,,,,,,
92,burgers,herb & pepper,shrimp,pasta,spaghetti,mineral water,meatballs,olive oil,energy bar,french wine,eggs,salt,,,,,,,,
93,champagne,low fat yogurt,,,,,,,,,,,,,,,,,,
94,champagne,,,,,,,,,,,,,,,,,,,
95,burgers,almonds,eggs,french fries,cookies,green tea,,,,,,,,,,,,,,
96,ham,soup,escalope,body spray,,,,,,,,,,,,,,,,
97,turkey,ham,frozen vegetables,pepper,oil,extra dark chocolate,tea,magazines,,,,,,,,,,,,
98,muffins,eggs,cookies,,,,,,,,,,,,,,,,,
99,cookies,,,,,,,,,,,,,,,,,,,
100,frozen vegetables,whole wheat pasta,ground beef,spaghetti,chocolate,green tea,,,,,,,,,,,,,,
101,mineral water,barbecue sauce,chocolate,,,,,,,,,,,,,,,,,
102,burgers,herb & pepper,energy bar,almonds,eggs,corn,mayonnaise,zucchini,,,,,,,,,,,,
103,turkey,burgers,ground beef,chocolate,soup,almonds,eggs,hot dogs,cottage cheese,,,,,,,,,,,
104,ham,spaghetti,chocolate,eggs,,,,,,,,,,,,,,,,
105,ground beef,energy bar,pet food,carrots,protein bar,,,,,,,,,,,,,,,
106,ground beef,tomato sauce,spaghetti,mineral water,almonds,eggs,,,,,,,,,,,,,,
107,mineral water,olive oil,gums,cooking oil,,,,,,,,,,,,,,,,
108,shrimp,pasta,mineral water,soup,avocado,milk,olive oil,green grapes,eggs,bug spray,,,,,,,,,,
109,shrimp,pasta,soup,cake,cooking oil,chicken,light mayo,low fat yogurt,,,,,,,,,,,,
110,spaghetti,mineral water,chocolate,french fries,champagne,escalope,mushroom cream sauce,fresh bread,,,,,,,,,,,,
111,shrimp,pasta,mineral water,eggs,,,,,,,,,,,,,,,,
112,burgers,oil,tomato juice,fresh bread,,,,,,,,,,,,,,,,
113,french wine,eggs,chocolate,low fat yogurt,,,,,,,,,,,,,,,,
114,chicken,eggs,french fries,pancakes,,,,,,,,,,,,,,,,
115,turkey,herb & pepper,salmon,white wine,candy bars,,,,,,,,,,,,,,,
116,grated cheese,spaghetti,olive oil,eggs,french fries,green tea,,,,,,,,,,,,,,
117,mineral water,energy bar,,,,,,,,,,,,,,,,,,
118,eggs,french fries,,,,,,,,,,,,,,,,,,
119,burgers,tomatoes,mineral water,soup,milk,almonds,eggs,chocolate,tomato juice,,,,,,,,,,,
120,muffins,,,,,,,,,,,,,,,,,,,
121,pasta,,,,,,,,,,,,,,,,,,,
122,tomatoes,spaghetti,frozen smoothie,,,,,,,,,,,,,,,,,
123,ground beef,spaghetti,milk,,,,,,,,,,,,,,,,,
124,french fries,,,,,,,,,,,,,,,,,,,
125,chocolate,milk,,,,,,,,,,,,,,,,,,
126,burgers,shrimp,pasta,frozen vegetables,spaghetti,mineral water,milk,eggs,chocolate,french fries,pancakes,low fat yogurt,,,,,,,,
127,ground beef,mineral water,antioxydant juice,protein bar,,,,,,,,,,,,,,,,
128,grated cheese,whole wheat pasta,ground beef,spaghetti,cake,energy drink,,,,,,,,,,,,,,
129,grated cheese,,,,,,,,,,,,,,,,,,,
130,pancakes,,,,,,,,,,,,,,,,,,,
131,frozen smoothie,,,,,,,,,,,,,,,,,,,
132,carrots,green tea,,,,,,,,,,,,,,,,,,
133,chocolate,,,,,,,,,,,,,,,,,,,
134,turkey,burgers,chocolate,olive oil,eggs,cooking oil,corn,,,,,,,,,,,,,
135,frozen vegetables,tomatoes,pepper,spaghetti,mineral water,pancakes,chicken,chili,tea,french fries,tomato juice,fresh bread,,,,,,,,
136,cookies,,,,,,,,,,,,,,,,,,,
137,ground beef,,,,,,,,,,,,,,,,,,,
138,turkey,eggs,chocolate,frozen smoothie,tomato juice,,,,,,,,,,,,,,,
139,frozen vegetables,cooking oil,mashed potato,,,,,,,,,,,,,,,,,
140,frozen vegetables,ground beef,tomato sauce,mineral water,meatballs,olive oil,light cream,tomato juice,,,,,,,,,,,,
141,red wine,spaghetti,mineral water,soup,milk,eggs,cake,gums,cooking oil,chocolate,frozen smoothie,,,,,,,,,
142,chocolate,tomatoes,spaghetti,mineral water,avocado,milk,olive oil,eggs,rice,french fries,brownies,,,,,,,,,
143,chocolate,shrimp,pasta,frozen vegetables,ground beef,mineral water,nonfat milk,eggs,,,,,,,,,,,,
144,turkey,shrimp,pasta,pepper,spaghetti,mineral water,eggs,chicken,french fries,,,,,,,,,,,
145,cookies,,,,,,,,,,,,,,,,,,,
146,turkey,tomatoes,cake,,,,,,,,,,,,,,,,,
147,yams,mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce,carrots,chocolate,champagne,,,,,,,,,,
148,rice,,,,,,,,,,,,,,,,,,,
149,chocolate,milk,,,,,,,,,,,,,,,,,,
150,shrimp,pasta,frozen vegetables,water spray,,,,,,,,,,,,,,,,
151,burgers,mineral water,milk,eggs,whole wheat rice,mint,,,,,,,,,,,,,,
152,mineral water,vegetables mix,cake,frozen smoothie,brownies,,,,,,,,,,,,,,,
153,cookies,,,,,,,,,,,,,,,,,,,
154,shrimp,pasta,chicken,chocolate bread,,,,,,,,,,,,,,,,
155,shallot,,,,,,,,,,,,,,,,,,,
156,shrimp,pasta,spaghetti,eggs,hot dogs,green tea,,,,,,,,,,,,,,
157,burgers,,,,,,,,,,,,,,,,,,,
158,red wine,ground beef,spaghetti,mineral water,milk,olive oil,strong cheese,light cream,cooking oil,,,,,,,,,,,
159,burgers,grated cheese,spaghetti,avocado,milk,oil,french fries,,,,,,,,,,,,,
160,herb & pepper,whole wheat pasta,ground beef,mineral water,olive oil,,,,,,,,,,,,,,,
161,shrimp,pasta,yams,milk,chocolate,,,,,,,,,,,,,,,
162,butter,green tea,,,,,,,,,,,,,,,,,,
163,light mayo,,,,,,,,,,,,,,,,,,,
164,low fat yogurt,,,,,,,,,,,,,,,,,,,
165,herb & pepper,shrimp,pasta,spaghetti,milk,,,,,,,,,,,,,,,
166,burgers,eggs,,,,,,,,,,,,,,,,,,
167,turkey,herb & pepper,ground beef,soup,avocado,milk,black tea,eggs,barbecue sauce,carrots,cookies,tomato juice,fresh bread,,,,,,,
168,cookies,,,,,,,,,,,,,,,,,,,
169,escalope,,,,,,,,,,,,,,,,,,,
170,pepper,french fries,strawberries,pancakes,low fat yogurt,,,,,,,,,,,,,,,
171,frozen vegetables,yams,chicken,honey,light mayo,,,,,,,,,,,,,,,
172,chocolate,champagne,,,,,,,,,,,,,,,,,,
173,herb & pepper,honey,cake,rice,protein bar,,,,,,,,,,,,,,,
174,burgers,chocolate,frozen vegetables,ground beef,mineral water,milk,light mayo,asparagus,,,,,,,,,,,,
175,chocolate,mineral water,corn,cottage cheese,green tea,,,,,,,,,,,,,,,
176,muffins,,,,,,,,,,,,,,,,,,,
177,ham,french wine,escalope,,,,,,,,,,,,,,,,,
178,spaghetti,milk,whole wheat rice,mint green tea,,,,,,,,,,,,,,,,
179,chocolate,body spray,,,,,,,,,,,,,,,,,,
180,frozen vegetables,french fries,hot dogs,,,,,,,,,,,,,,,,,
181,candy bars,,,,,,,,,,,,,,,,,,,
182,burgers,shrimp,pasta,milk,green tea,french fries,cookies,white wine,,,,,,,,,,,,
183,parmesan cheese,ground beef,,,,,,,,,,,,,,,,,,
184,pancakes,whole wheat rice,candy bars,,,,,,,,,,,,,,,,,
185,eggs,eggplant,cookies,,,,,,,,,,,,,,,,,
186,frozen vegetables,mineral water,,,,,,,,,,,,,,,,,,
187,chocolate,,,,,,,,,,,,,,,,,,,
188,turkey,spaghetti,milk,whole wheat rice,chocolate,,,,,,,,,,,,,,,
189,whole wheat pasta,ground beef,spaghetti,soup,meatballs,chicken,blueberries,cooking oil,champagne,yogurt cake,protein bar,,,,,,,,,
190,cooking oil,tomato juice,,,,,,,,,,,,,,,,,,
191,frozen vegetables,milk,eggs,french fries,green tea,,,,,,,,,,,,,,,
192,fresh tuna,spaghetti,olive oil,french wine,eggs,french fries,champagne,pancakes,light mayo,,,,,,,,,,,
193,red wine,honey,hot dogs,,,,,,,,,,,,,,,,,
194,milk,bacon,eggs,french fries,fresh bread,,,,,,,,,,,,,,,
195,french fries,yogurt cake,,,,,,,,,,,,,,,,,,
196,milk,,,,,,,,,,,,,,,,,,,
197,french fries,,,,,,,,,,,,,,,,,,,
198,chocolate,,,,,,,,,,,,,,,,,,,
199,burgers,ham,red wine,,,,,,,,,,,,,,,,,
200,shrimp,pasta,tomatoes,energy bar,french wine,antioxydant juice,french fries,frozen smoothie,brownies,,,,,,,,,,,
201,green tea,,,,,,,,,,,,,,,,,,,
202,low fat yogurt,,,,,,,,,,,,,,,,,,,
203,turkey,spaghetti,mineral water,soup,spinach,soda,energy drink,salt,,,,,,,,,,,,
204,turkey,eggs,,,,,,,,,,,,,,,,,,
205,bug spray,hot dogs,,,,,,,,,,,,,,,,,,
206,oil,,,,,,,,,,,,,,,,,,,
207,soup,energy bar,chicken,eggs,cake,french fries,body spray,strawberries,,,,,,,,,,,,
208,spaghetti,chocolate,yogurt cake,,,,,,,,,,,,,,,,,
209,turkey,mineral water,meatballs,,,,,,,,,,,,,,,,,
210,ground beef,mineral water,chocolate,fromage blanc,bacon,hot dogs,,,,,,,,,,,,,,
211,frozen vegetables,mineral water,vegetables mix,escalope,,,,,,,,,,,,,,,,
212,herb & pepper,red wine,tomatoes,,,,,,,,,,,,,,,,,
213,whole wheat pasta,olive oil,cereals,brownies,green tea,,,,,,,,,,,,,,,
214,cookies,,,,,,,,,,,,,,,,,,,
215,olive oil,cookies,mushroom cream sauce,,,,,,,,,,,,,,,,,
216,ground beef,pancakes,cooking oil,gluten free bar,light mayo,,,,,,,,,,,,,,,
217,mineral water,french fries,,,,,,,,,,,,,,,,,,
218,herb & pepper,,,,,,,,,,,,,,,,,,,
219,salmon,,,,,,,,,,,,,,,,,,,
220,eggs,escalope,,,,,,,,,,,,,,,,,,
221,mineral water,tomato juice,,,,,,,,,,,,,,,,,,
222,mineral water,,,,,,,,,,,,,,,,,,,
223,shrimp,mineral water,soup,black tea,,,,,,,,,,,,,,,,
224,cake,frozen smoothie,,,,,,,,,,,,,,,,,,
225,turkey,burgers,grated cheese,tomatoes,chocolate,fromage blanc,honey,whole wheat rice,,,,,,,,,,,,
226,frozen vegetables,ground beef,mineral water,olive oil,pancakes,,,,,,,,,,,,,,,
227,turkey,burgers,ground beef,milk,olive oil,cake,fresh bread,,,,,,,,,,,,,
228,whole wheat pasta,ground beef,spaghetti,yams,mineral water,soup,chutney,cereals,energy drink,protein bar,,,,,,,,,,
229,eggs,whole wheat rice,cake,green tea,escalope,,,,,,,,,,,,,,,
230,ground beef,yams,soup,avocado,salmon,green tea,,,,,,,,,,,,,,
231,milk,,,,,,,,,,,,,,,,,,,
232,spaghetti,chocolate,,,,,,,,,,,,,,,,,,
233,whole wheat pasta,honey,,,,,,,,,,,,,,,,,,
234,whole wheat pasta,green tea,,,,,,,,,,,,,,,,,,
235,spaghetti,meatballs,vegetables mix,chocolate,,,,,,,,,,,,,,,,
236,eggs,low fat yogurt,,,,,,,,,,,,,,,,,,
237,fresh tuna,shrimp,pasta,mineral water,olive oil,eggs,cake,brownies,tomato juice,,,,,,,,,,,
238,mineral water,green grapes,hot dogs,fresh bread,,,,,,,,,,,,,,,,
239,frozen vegetables,meatballs,eggs,chocolate,,,,,,,,,,,,,,,,
240,chocolate,,,,,,,,,,,,,,,,,,,
241,meatballs,milk,,,,,,,,,,,,,,,,,,
242,low fat yogurt,,,,,,,,,,,,,,,,,,,
243,green tea,,,,,,,,,,,,,,,,,,,
244,escalope,pasta,,,,,,,,,,,,,,,,,,
245,pepper,chocolate,olive oil,french wine,salmon,rice,light mayo,fresh bread,magazines,,,,,,,,,,,
246,red wine,french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea,,,,,,,,,,,,,
247,burgers,dessert wine,spaghetti,chicken,cake,protein bar,green tea,,,,,,,,,,,,,
248,french wine,cake,fresh bread,,,,,,,,,,,,,,,,,
249,burgers,frozen vegetables,flax seed,eggs,,,,,,,,,,,,,,,,
250,red wine,,,,,,,,,,,,,,,,,,,
251,pepper,mineral water,energy bar,green grapes,,,,,,,,,,,,,,,,
252,milk,eggs,cake,chocolate,french fries,green tea,,,,,,,,,,,,,,
253,french fries,,,,,,,,,,,,,,,,,,,
254,almonds,,,,,,,,,,,,,,,,,,,
255,burgers,mineral water,green tea,,,,,,,,,,,,,,,,,
256,milk,pancakes,,,,,,,,,,,,,,,,,,
257,pancakes,eggs,salt,tomato juice,,,,,,,,,,,,,,,,
258,mineral water,,,,,,,,,,,,,,,,,,,
259,ham,spaghetti,mineral water,olive oil,,,,,,,,,,,,,,,,
260,salt,tomato juice,fresh bread,,,,,,,,,,,,,,,,,
261,spaghetti,mushroom cream sauce,,,,,,,,,,,,,,,,,,
262,spaghetti,mineral water,eggs,pet food,,,,,,,,,,,,,,,,
263,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,
264,energy drink,,,,,,,,,,,,,,,,,,,
265,muffins,,,,,,,,,,,,,,,,,,,
266,turkey,milk,,,,,,,,,,,,,,,,,,
267,cookies,,,,,,,,,,,,,,,,,,,
268,chocolate,,,,,,,,,,,,,,,,,,,
269,spaghetti,mineral water,eggs,cooking oil,chocolate,escalope,,,,,,,,,,,,,,
270,shrimp,frozen vegetables,pepper,spaghetti,green tea,,,,,,,,,,,,,,,
271,burgers,fresh tuna,red wine,mineral water,french fries,hand protein bar,low fat yogurt,,,,,,,,,,,,,
272,pancakes,eggs,energy drink,fresh bread,,,,,,,,,,,,,,,,
273,strong cheese,salmon,green tea,french fries,frozen smoothie,hot dogs,,,,,,,,,,,,,,
274,grated cheese,shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich,,,,,,,,,,,,,
275,herb & pepper,whole wheat pasta,olive oil,pancakes,eggs,,,,,,,,,,,,,,,
276,spaghetti,antioxydant juice,,,,,,,,,,,,,,,,,,
277,chocolate,milk,almonds,eggs,strawberries,white wine,,,,,,,,,,,,,,
278,french fries,strawberries,,,,,,,,,,,,,,,,,,
279,mineral water,,,,,,,,,,,,,,,,,,,
280,eggs,,,,,,,,,,,,,,,,,,,
281,escalope,,,,,,,,,,,,,,,,,,,
282,cake,,,,,,,,,,,,,,,,,,,
283,whole wheat pasta,antioxydant juice,body spray,green tea,,,,,,,,,,,,,,,,
284,mineral water,oil,frozen smoothie,,,,,,,,,,,,,,,,,
285,french fries,champagne,,,,,,,,,,,,,,,,,,
286,chocolate,french fries,,,,,,,,,,,,,,,,,,
287,frozen vegetables,spaghetti,eggs,,,,,,,,,,,,,,,,,
288,hot dogs,,,,,,,,,,,,,,,,,,,
289,chocolate,cookies,,,,,,,,,,,,,,,,,,
290,pancakes,,,,,,,,,,,,,,,,,,,
291,shrimp,butter,chicken,salmon,,,,,,,,,,,,,,,,
292,chocolate,cookies,babies food,,,,,,,,,,,,,,,,,
293,pepper,spaghetti,cake,chocolate,french fries,fresh bread,,,,,,,,,,,,,,
294,avocado,oil,cereals,french fries,,,,,,,,,,,,,,,,
295,herb & pepper,spaghetti,mineral water,spinach,eggs,oil,cooking oil,green tea,shampoo,tomato juice,low fat yogurt,,,,,,,,,
296,herb & pepper,frozen vegetables,ground beef,pepper,spaghetti,mint green tea,french fries,,,,,,,,,,,,,
297,french fries,,,,,,,,,,,,,,,,,,,
298,green tea,tomato juice,,,,,,,,,,,,,,,,,,
299,eggs,whole wheat rice,chocolate,,,,,,,,,,,,,,,,,
300,grated cheese,herb & pepper,red wine,spaghetti,mineral water,salmon,eggs,cooking oil,green tea,,,,,,,,,,,
301,french fries,cookies,shallot,tomato juice,fresh bread,low fat yogurt,,,,,,,,,,,,,,
302,burgers,fresh tuna,spaghetti,muffins,honey,,,,,,,,,,,,,,,
303,herb & pepper,ground beef,spaghetti,eggs,chicken,,,,,,,,,,,,,,,
304,grated cheese,muffins,tomato juice,mayonnaise,,,,,,,,,,,,,,,,
305,whole wheat pasta,yams,mineral water,muffins,frozen smoothie,hot dogs,energy drink,,,,,,,,,,,,,
306,burgers,spaghetti,soup,milk,olive oil,salmon,eggs,blueberries,,,,,,,,,,,,
307,chocolate,champagne,magazines,,,,,,,,,,,,,,,,,
308,frozen vegetables,spaghetti,yams,mineral water,french wine,green grapes,rice,chocolate,,,,,,,,,,,,
309,tomato sauce,chocolate,,,,,,,,,,,,,,,,,,
310,milk,eggs,,,,,,,,,,,,,,,,,,
311,pet food,,,,,,,,,,,,,,,,,,,
312,yogurt cake,,,,,,,,,,,,,,,,,,,
313,green tea,,,,,,,,,,,,,,,,,,,
314,escalope,pasta,,,,,,,,,,,,,,,,,,
315,herb & pepper,ground beef,,,,,,,,,,,,,,,,,,
316,mineral water,honey,brownies,,,,,,,,,,,,,,,,,
317,turkey,eggs,cake,energy drink,,,,,,,,,,,,,,,,
318,turkey,burgers,dessert wine,ground beef,soup,salmon,eggs,gums,tomato juice,candy bars,,,,,,,,,,
319,spaghetti,mineral water,chicken,,,,,,,,,,,,,,,,,
320,turkey,ground beef,carrots,french fries,melons,,,,,,,,,,,,,,,
321,mineral water,eggs,low fat yogurt,,,,,,,,,,,,,,,,,
322,turkey,cooking oil,shampoo,,,,,,,,,,,,,,,,,
323,spaghetti,hot dogs,,,,,,,,,,,,,,,,,,
324,chocolate,green tea,,,,,,,,,,,,,,,,,,
325,grated cheese,pepper,mineral water,chocolate,eggs,cake,mashed potato,tomato juice,,,,,,,,,,,,
326,chocolate,,,,,,,,,,,,,,,,,,,
327,spaghetti,olive oil,strong cheese,pancakes,,,,,,,,,,,,,,,,
328,red wine,mineral water,soup,rice,cookies,,,,,,,,,,,,,,,
329,red wine,shrimp,spaghetti,,,,,,,,,,,,,,,,,
330,green tea,,,,,,,,,,,,,,,,,,,
331,mineral water,chicken,french fries,frozen smoothie,,,,,,,,,,,,,,,,
332,muffins,,,,,,,,,,,,,,,,,,,
333,cake,chocolate,,,,,,,,,,,,,,,,,,
334,fresh tuna,tomatoes,mineral water,soup,avocado,meatballs,olive oil,,,,,,,,,,,,,
335,turkey,french fries,,,,,,,,,,,,,,,,,,
336,burgers,turkey,herb & pepper,ground beef,pancakes,eggs,light cream,rice,champagne,fresh bread,,,,,,,,,,
337,escalope,,,,,,,,,,,,,,,,,,,
338,chocolate,escalope,fresh bread,,,,,,,,,,,,,,,,,
339,ham,spaghetti,french wine,vegetables mix,chocolate,french fries,,,,,,,,,,,,,,
340,avocado,light mayo,,,,,,,,,,,,,,,,,,
341,spaghetti,yams,butter,chocolate,,,,,,,,,,,,,,,,
342,energy bar,eggs,french fries,,,,,,,,,,,,,,,,,
343,fresh tuna,barbecue sauce,eggplant,,,,,,,,,,,,,,,,,
344,energy drink,,,,,,,,,,,,,,,,,,,
345,whole wheat rice,french fries,hot dogs,green tea,,,,,,,,,,,,,,,,
346,mineral water,chicken,green tea,,,,,,,,,,,,,,,,,
347,eggs,cake,mushroom cream sauce,,,,,,,,,,,,,,,,,
348,escalope,,,,,,,,,,,,,,,,,,,
349,antioxydant juice,escalope,,,,,,,,,,,,,,,,,,
350,shrimp,spaghetti,french fries,,,,,,,,,,,,,,,,,
351,grated cheese,spaghetti,salmon,tomato juice,,,,,,,,,,,,,,,,
352,spaghetti,green tea,,,,,,,,,,,,,,,,,,
353,champagne,protein bar,,,,,,,,,,,,,,,,,,
354,mineral water,avocado,chocolate,,,,,,,,,,,,,,,,,
355,tomatoes,champagne,green tea,,,,,,,,,,,,,,,,,
356,chicken,french fries,escalope,,,,,,,,,,,,,,,,,
357,frozen vegetables,tomatoes,eggs,green tea,frozen smoothie,light mayo,,,,,,,,,,,,,,
358,ground beef,chicken,cider,green grapes,honey,chocolate,french fries,champagne,frozen smoothie,escalope,,,,,,,,,,
359,french fries,champagne,,,,,,,,,,,,,,,,,,
360,mineral water,soup,,,,,,,,,,,,,,,,,,
361,frozen vegetables,spaghetti,milk,chocolate,babies food,,,,,,,,,,,,,,,
362,honey,whole wheat rice,,,,,,,,,,,,,,,,,,
363,whole wheat rice,chicken,tomato juice,,,,,,,,,,,,,,,,,
364,pancakes,,,,,,,,,,,,,,,,,,,
365,green tea,protein bar,tomato juice,candy bars,,,,,,,,,,,,,,,,
366,french fries,,,,,,,,,,,,,,,,,,,
367,mineral water,,,,,,,,,,,,,,,,,,,
368,escalope,,,,,,,,,,,,,,,,,,,
369,grated cheese,herb & pepper,whole wheat pasta,yams,mineral water,bacon,nonfat milk,spinach,,,,,,,,,,,,
370,spaghetti,milk,,,,,,,,,,,,,,,,,,
371,milk,chocolate,white wine,,,,,,,,,,,,,,,,,
372,sandwich,,,,,,,,,,,,,,,,,,,
373,chocolate,light mayo,,,,,,,,,,,,,,,,,,
